Currency_name,Currency_code,CUR_USD,USD_CUR,currency_country_name
Afghanistan Afghani,AFN,0.01644,61.0517,AFGHANISTAN
Albanian Lek,ALL,0.007237,143.208,ALBANIA
Algerian Dinar,DZD,0.009789,103.169,ALGERIA
Angolan Kwanza,AOA,0.008944,112.947,ANGOLA
Argentine Peso,ARS,0.1081,9.2657,ARGENTINA
Armenian Dram,AMD,0.001981,505.005,ARMENIA
Aruban Florin,AWG,0.5331,1.8973,ARUBA
Australian Dollar,AUD,0.7253,1.3791,AUSTRALIA
Australian Dollar,AUD,0.7253,1.3791,CHRISTMAS ISLAND
Australian Dollar,AUD,0.7253,1.3791,COCOS (KEELING) ISLANDS
Australian Dollar,AUD,0.7253,1.3791,HEARD ISLAND AND McDONALD ISLANDS
Australian Dollar,AUD,0.7253,1.3791,KIRIBATI
Australian Dollar,AUD,0.7253,1.3791,NAURU
Australian Dollar,AUD,0.7253,1.3791,NORFOLK ISLAND
Australian Dollar,AUD,0.7253,1.3791,TUVALU
Azerbaijan New Manat,AZN,0.905,1.1062,AZERBAIJAN
Bahamian Dollar,BSD,0.958,1.058,BAHAMAS
Bahraini Dinar,BHD,2.5409,0.4011,BAHRAIN
Bangladeshi Taka,BDT,0.01241,84.1862,BANGLADESH
Barbados Dollar,BBD,0.474424,2.10814,BARBADOS
Belarusian Ruble,BYR,6.29E-05,16013.2,BELARUS
Belize Dollar,BZD,0.4858,2.1592,BELIZE
Bermudian Dollar,BMD,0.9488,1.0541,BERMUDA
Bolivian Boliviano,BOB,0.1408,7.5058,"BOLIVIA, PLURINATIONAL STATE OF"
Bosnian Mark,BAM,0.5114,1.9562,BOSNIA AND HERZEGOVINA
Botswana Pula,BWP,0.09489,10.8603,BOTSWANA
Brazilian Real,BRL,0.2932,3.4191,BRAZIL
British Pound,GBP,1.4029,0.713,GUERNSEY
British Pound,GBP,1.4029,0.713,ISLE OF MAN
British Pound,GBP,1.4029,0.713,JERSEY
British Pound,GBP,1.4029,0.713,UNITED KINGDOM
Brunei Dollar,BND,0.6924,1.4946,BRUNEI DARUSSALAM
Bulgarian Lev,BGN,0.5117,1.9551,BULGARIA
Burundi Franc,BIF,0.0006146,1684.06,BURUNDI
Cambodian Riel,KHR,0.0002388,4343.82,CAMBODIA
Canadian Dollar,CAD,0.7423,1.3477,CANADA
Cape Verde Escudo,CVE,0.009069,110.265,CABO VERDE
Cayman Islands Dollar,KYD,1.1553,0.9058,CAYMAN ISLANDS
CFA Franc BCEAO,XOF,0.001524,655.957,BENIN
CFA Franc BCEAO,XOF,0.001524,655.957,BURKINA FASO
CFA Franc BCEAO,XOF,0.001524,655.957,CÔTE D'IVOIRE
CFA Franc BCEAO,XOF,0.001524,655.957,GUINEA-BISSAU
CFA Franc BCEAO,XOF,0.001524,655.957,MALI
CFA Franc BCEAO,XOF,0.001524,655.957,NIGER
CFA Franc BCEAO,XOF,0.001524,655.957,SENEGAL
CFA Franc BCEAO,XOF,0.001524,655.957,TOGO
CFA Franc BEAC,XAF,0.001524,655.957,CAMEROON
CFA Franc BEAC,XAF,0.001524,655.957,CENTRAL AFRICAN REPUBLIC
CFA Franc BEAC,XAF,0.001524,655.957,CHAD
CFA Franc BEAC,XAF,0.001524,655.957,CONGO
CFA Franc BEAC,XAF,0.001524,655.957,EQUATORIAL GUINEA
CFA Franc BEAC,XAF,0.001524,655.957,GABON
CFP Franc,XPF,0.00838,119.332,FRENCH POLYNESIA
CFP Franc,XPF,0.00838,119.332,NEW CALEDONIA
CFP Franc,XPF,0.00838,119.332,WALLIS AND FUTUNA
Chilean Peso,CLP,0.001484,674.679,CHILE
Chinese Yuan Renminbi,CNY,0.1545,6.4987,CHINA
Colombian Peso,COP,0.0003621,2839.72,COLOMBIA
Comoros Franc,KMF,0.002033,491.968,COMOROS
Costa Rican Colon,CRC,0.001799,583.9,COSTA RICA
Croatian Kuna,HRK,0.131,7.6413,CROATIA
Cuban Peso,CUP,0.0427,24.3997,CUBA
Czech Koruna,CZK,0.03667,27.311,CZECH REPUBLIC
Danish Krone,DKK,0.134,7.4614,DENMARK
Danish Krone,DKK,0.134,7.4614,FAROE ISLANDS
Danish Krone,DKK,0.134,7.4614,GREENLAND
Djibouti Franc,DJF,0.005339,187.329,DJIBOUTI
Dominican R. Peso,DOP,0.02141,47.8846,DOMINICAN REPUBLIC
East Caribbean Dollar,XCD,0.353,2.8638,ANGUILLA
East Caribbean Dollar,XCD,0.353,2.8638,ANTIGUA AND BARBUDA
East Caribbean Dollar,XCD,0.353,2.8638,DOMINICA
East Caribbean Dollar,XCD,0.353,2.8638,GRENADA
East Caribbean Dollar,XCD,0.353,2.8638,MONTSERRAT
East Caribbean Dollar,XCD,0.353,2.8638,SAINT KITTS AND NEVIS
East Caribbean Dollar,XCD,0.353,2.8638,SAINT LUCIA
East Caribbean Dollar,XCD,0.353,2.8638,SAINT VINCENT AND THE GRENADINES
Egyptian Pound,EGP,0.1249,8.0604,EGYPT
Ethiopian Birr,ETB,0.04695,21.8025,ETHIOPIA
Euro,EUR,1,1,ÅLAND ISLANDS
Euro,EUR,1,1,ANDORRA
Euro,EUR,1,1,AUSTRIA
Euro,EUR,1,1,BELGIUM
Euro,EUR,1,1,CYPRUS
Euro,EUR,1,1,ESTONIA
Euro,EUR,1,1,FINLAND
Euro,EUR,1,1,FRANCE
Euro,EUR,1,1,FRENCH GUIANA
Euro,EUR,1,1,FRENCH SOUTHERN TERRITORIES
Euro,EUR,1,1,GERMANY
Euro,EUR,1,1,GREECE
Euro,EUR,1,1,GUADELOUPE
Euro,EUR,1,1,HOLY SEE (VATICAN CITY STATE)
Euro,EUR,1,1,IRELAND
Euro,EUR,1,1,ITALY
Euro,EUR,1,1,LATVIA
Euro,EUR,1,1,LITHUANIA
Euro,EUR,1,1,LUXEMBOURG
Euro,EUR,1,1,MALTA
Euro,EUR,1,1,MARTINIQUE
Euro,EUR,1,1,MAYOTTE
Euro,EUR,1,1,MONACO
Euro,EUR,1,1,MONTENEGRO
Euro,EUR,1,1,NETHERLANDS
Euro,EUR,1,1,PORTUGAL
Euro,EUR,1,1,RÉUNION
Euro,EUR,1,1,SAINT BARTHÉLEMY
Euro,EUR,1,1,SAINT MARTIN (FRENCH PART)
Euro,EUR,1,1,SAINT PIERRE AND MIQUELON
Euro,EUR,1,1,SAN MARINO
Euro,EUR,1,1,SLOVAKIA
Euro,EUR,1,1,SLOVENIA
Euro,EUR,1,1,SPAIN
Falkland Islands Pound,FKP,1.4029,0.7131,FALKLAND ISLANDS (MALVINAS)
Fiji Dollar,FJD,0.4613,2.1908,FIJI
Gambian Dalasi,GMD,0.02227,45.9603,GAMBIA
Georgian Lari,GEL,0.4356,2.296,GEORGIA
Ghanaian New Cedi,GHS,0.2618,3.8628,GHANA
Gibraltar Pound,GIP,1.4029,0.7131,GIBRALTAR
Guatemalan Quetzal,GTQ,0.1273,8.2545,GUATEMALA
Guinea Franc,GNF,0.000134,7748.67,GUINEA
Guyanese Dollar,GYD,0.004809,228.029,GUYANA
Honduran Lempira,HNL,0.04445,23.5007,HONDURAS
Hong Kong Dollar,HKD,0.1222,8.1862,HONG KONG
Hungarian Forint,HUF,0.003285,305.102,HUNGARY
Iceland Krona,ISK,0.006803,147.707,ICELAND
Indian Rupee,INR,0.01511,66.2901,BHUTAN
Indian Rupee,INR,0.01511,66.2901,INDIA
Indonesian Rupiah,IDR,7.18E-05,13979.7,INDONESIA
Iranian Rial,IRR,3.39E-05,29561.4,"IRAN, ISLAMIC REPUBLIC OF"
Iraqi Dinar,IQD,0.0008299,1263.69,IRAQ
Israeli New Shekel,ILS,0.2359,4.2483,ISRAEL
Israeli New Shekel,ILS,0.2359,4.2483,"PALESTINE, STATE OF"
Jamaican Dollar,JMD,0.008333,123.637,JAMAICA
Japanese Yen,JPY,0.007822,127.877,JAPAN
Jordanian Dinar,JOD,1.3442,0.7493,JORDAN
Kazakhstan Tenge,KZT,0.005179,199.139,KAZAKHSTAN
Kenyan Shilling,KES,0.01051,98.8745,KENYA
Kuwaiti Dinar,KWD,3.168,0.3167,KUWAIT
Kyrgyzstanian Som,KGS,0.01542,64.9065,KYRGYZSTAN
Lao Kip,LAK,0.0001189,8778.98,LAO PEOPLE’S DEMOCRATIC REPUBLIC
Lebanese Pound,LBP,0.0006292,1595.86,LEBANON
Liberian Dollar,LRD,0.0113,89.596,LIBERIA
Libyan Dinar,LYD,0.7078,1.479,LIBYA
Macau Pataca,MOP,0.1209,8.6726,MACAO
Macedonian Denar,MKD,0.01635,61.9922,"MACEDONIA, THE FORMER YUGOSLAV REPUBLIC OF"
Malagasy Ariary,MGA,0.000319,3235.59,MADAGASCAR
Malawi Kwacha,MWK,0.002171,473.279,MALAWI
Malaysian Ringgit,MYR,0.2566,3.9024,MALAYSIA
Maldive Rufiyaa,MVR,0.06342,16.3416,MALDIVES
Mauritanian Ouguiya,MRO,0.003141,329.671,MAURITANIA
Mauritius Rupee,MUR,0.02724,39.6754,MAURITIUS
Mexican Peso,MXN,0.06138,16.3045,MEXICO
Moldovan Leu,MDL,0.05251,19.6469,"MOLDOVA, REPUBLIC OF"
Mongolian Tugrik,MNT,0.000479,2093.38,MONGOLIA
Moroccan Dirham,MAD,0.09493,10.7714,MOROCCO
Moroccan Dirham,MAD,0.09493,10.7714,WESTERN SAHARA
Mozambique New Metical,MZN,0.02807,35.9438,MOZAMBIQUE
Myanmar Kyat,MMK,0.0009329,1116.22,MYANMAR
Nepalese Rupee,NPR,0.00953,108.36,NEPAL
New Zealand Dollar,NZD,0.6989,1.4315,COOK ISLANDS
New Zealand Dollar,NZD,0.6989,1.4315,NEW ZEALAND
New Zealand Dollar,NZD,0.6989,1.4315,NIUE
New Zealand Dollar,NZD,0.6989,1.4315,PITCAIRN
New Zealand Dollar,NZD,0.6989,1.4315,TOKELAU
Nicaraguan Cordoba Oro,NIO,0.03618,28.6473,NICARAGUA
Nigerian Naira,NGN,0.00479,212.909,NIGERIA
NL Antillian Guilder,ANG,0.5331,1.9184,CURAÇAO
NL Antillian Guilder,ANG,0.5331,1.9184,SINT MAARTEN (DUTCH PART)
North Korean Won,KPW,0.007029,142.299,"KOREA, DEMOCRATIC PEOPLE’S REPUBLIC OF"
Norwegian Kroner,NOK,0.1155,8.6683,BOUVET ISLAND
Norwegian Kroner,NOK,0.1155,8.6683,NORWAY
Norwegian Kroner,NOK,0.1155,8.6683,SVALBARD AND JAN MAYEN
Omani Rial,OMR,2.4741,0.4073,OMAN
Pakistan Rupee,PKR,0.009403,108.73,PAKISTAN
Papua New Guinea Kina,PGK,0.3675,2.8817,PAPUA NEW GUINEA
Paraguay Guarani,PYG,0.0002021,5209.08,PARAGUAY
Peruvian Nuevo Sol,PEN,0.3112,3.3397,PERU
Philippine Peso,PHP,0.02139,46.8576,PHILIPPINES
Polish Zloty,PLN,0.2417,4.1434,POLAND
Qatari Rial,QAR,0.2609,3.8415,QATAR
Romanian New Lei,RON,0.226,4.4321,ROMANIA
Russian Rouble,RUB,0.01524,65.6681,RUSSIAN FEDERATION
Rwandan Franc,RWF,0.001361,763.914,RWANDA
Samoan Tala,WST,0.4182,2.4878,SAMOA
Sao Tome/Principe Dobra,STD,4.13E-05,24746,SAO TOME AND PRINCIPE
Saudi Riyal,SAR,0.2531,3.9548,SAUDI ARABIA
Serbian Dinar,RSD,0.008374,120.891,SERBIA
Seychelles Rupee,SCR,0.07449,15.4017,SEYCHELLES
Sierra Leone Leone,SLL,0.0002186,4680.07,SIERRA LEONE
Singapore Dollar,SGD,0.6825,1.4661,SINGAPORE
Solomon Islands Dollar,SBD,0.1228,8.2029,SOLOMON ISLANDS
Somali Shilling,SOS,0.001394,768.736,SOMALIA
South African Rand,ZAR,0.07638,13.1101,LESOTHO
South African Rand,ZAR,0.07638,13.1101,NAMIBIA
South African Rand,ZAR,0.07638,13.1101,SOUTH AFRICA
South-Korean Won,KRW,0.0008381,1196.31,"KOREA, REPUBLIC OF"
Sri Lanka Rupee,LKR,0.00729,144.213,SRI LANKA
St. Helena Pound,SHP,1.5274,0.6552,"SAINT HELENA, ASCENSION AND TRISTAN DA CUNHA"
Sudanese Pound,SDG,0.1595,6.3695,SUDAN
Suriname Dollar,SRD,0.2929,3.4679,SURINAME
Swaziland Lilangeni,SZL,0.076377,13.11007,SWAZILAND
Swedish Krona,SEK,0.1093,9.1541,SWEDEN
Swiss Franc,CHF,0.9436,1.0603,LIECHTENSTEIN
Swiss Franc,CHF,0.9436,1.0603,SWITZERLAND
Syrian Pound,SYP,0.004509,222.145,SYRIAN ARAB REPUBLIC
Taiwan Dollar,TWD,0.02993,33.4332,"TAIWAN, PROVINCE OF CHINA"
Tajikistani Somoni,TJS,0.1738,5.7572,TAJIKISTAN
Tanzanian Shilling,TZS,0.0005245,2007.08,"TANZANIA, UNITED REPUBLIC OF"
Thai Baht,THB,0.02887,34.7487,THAILAND
Tonga Pa'anga,TOP,0.456,2.1986,TONGA
Trinidad/Tobago Dollar,TTD,0.1525,6.8575,TRINIDAD AND TOBAGO
Tunisian Dinar,TND,0.4833,2.0802,TUNISIA
Turkish Lira,TRY,0.3614,2.7706,TURKEY
Turkmenistan New Manat,TMT,0.3329,3.0041,TURKMENISTAN
Uganda Shilling,UGX,0.0003286,3133.83,UGANDA
Ukraine Hryvnia,UAH,0.04404,23.3123,UKRAINE
Uruguayan Peso,UYU,0.0385,27.1777,URUGUAY
US Dollar,USD,0.9488,1.0541,AMERICAN SAMOA
US Dollar,USD,0.9488,1.0541,"BONAIRE, SINT EUSTATIUS AND SABA"
US Dollar,USD,0.9488,1.0541,BRITISH INDIAN OCEAN TERRITORY
US Dollar,USD,0.9488,1.0541,ECUADOR
US Dollar,USD,0.9488,1.0541,EL SALVADOR
US Dollar,USD,0.9488,1.0541,GUAM
US Dollar,USD,0.9488,1.0541,HAITI
US Dollar,USD,0.9488,1.0541,MARSHALL ISLANDS
US Dollar,USD,0.9488,1.0541,"MICRONESIA, FEDERATED STATES OF"
US Dollar,USD,0.9488,1.0541,NORTHERN MARIANA ISLANDS
US Dollar,USD,0.9488,1.0541,PALAU
US Dollar,USD,0.9488,1.0541,PANAMA
US Dollar,USD,0.9488,1.0541,PUERTO RICO
US Dollar,USD,0.9488,1.0541,TIMOR-LESTE
US Dollar,USD,0.9488,1.0541,TURKS AND CAICOS ISLANDS
US Dollar,USD,0.9488,1.0541,UNITED STATES
US Dollar,USD,0.9488,1.0541,UNITED STATES MINOR OUTLYING ISLANDS
US Dollar,USD,0.9488,1.0541,VIRGIN ISLANDS (BRITISH)
US Dollar,USD,0.9488,1.0541,VIRGIN ISLANDS (U.S.)
Utd. Arab Emir. Dirham,AED,0.2584,3.8722,UNITED ARAB EMIRATES
Uzbekistan Som,UZS,0.0003895,2619.36,UZBEKISTAN
Vanuatu Vatu,VUV,0.009028,112.891,VANUATU
Venezuelan Bolivar Fuerte,VEF,0.1509,6.6512,"VENEZUELA, BOLIVARIAN REPUBLIC OF"
Vietnamese Dong,VND,4.48E-05,22968.5,VIET NAM
Yemeni Rial,YER,0.004416,226.994,YEMEN
Zambian  Kwacha,ZMW,0.1298,7.8035,ZAMBIA
Zimbabwe Dollar,ZWD,0.002542,396.647,ZIMBABWE
